,pair_of_objects,cause_directions,confounders,confidences
22,baseball player // home plate,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y']","['', '?', '', 'Baseball field', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_3']"
23,electronics // dvds,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
24,chair // table,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', 'kitchen', 'OFFICE', 'Room', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
25,bag // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
26,boy // head,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['body', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
27,plumbing // toiletries,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', '', 'bathroom', '', 'BATHROOM']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
28,train front // station,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', 'train', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
29,city // sky,"['x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '', '?', 'Outside', 'building']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
30,sock // shirt,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'person', 'uniform', 'Person', 'football player']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
31,ski poles // ski boot,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['mountains', 'skier', '?', 'Skier', 'snow']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
32,hamburger // meal,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
33,roof // hair,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'person', '?', '?', '?']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_1']"
34,sled // snowsuit,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'snow', '?', 'Person', 'snow']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
35,pillows // player,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['town', 'indoor/outdoor', '?', '?', '?']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_2']"
36,condiments // ketchup,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['', '', '', '', 'Kitchen']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
37,skis // ski boot,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['', 'Skier', '', '', 'skiing']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
38,french fry // fries,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
39,tree // shoe,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', '?', '?']","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_2']"
40,sock // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['uniform', 'Person', 'person', 'football player', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
41,vegetable // veggie,"['x-is-y', 'x-is-y', 'x-is-y', 'y-to-x', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
42,roman numeral // numeral,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
43,woman // shirt,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['?', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
44,pans // chef,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
45,cloud // sky,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
46,prongs // tines,"['x-is-y', 'x-to-y', 'x-to-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
47,writing // letters,"['y-to-x', 'x-to-y', 'x-to-y', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
48,head // water,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', '?', '?']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
49,shoe // player,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
50,pear // fruits,"['y-to-x', 'y-to-x', 'y-to-x', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
51,control // remotes,"['x-is-y', 'y-to-x', 'x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-to-y', 'x-is-y', 'x-to-y']","['', '', '', '', '', 'television', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_3', 'confidence_3']"
52,person // shoe,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
53,table // plate,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
54,ball // field,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['?', 'Athlete', '', 'soccer', 'sports']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
55,grass // uniform,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Athlete', '?', '?', 'Play ground']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
56,windshield wipers // doors,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Car', 'car', 'cars', 'car']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
57,city // building,"['x-to-y', 'x-to-y', 'x-to-y', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
58,person // wall,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['?', '?', '?', '?', '']","['confidence_1', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_2']"
59,shoe // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Pilot', '?', '?', 'outdoors']","['confidence_1', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
60,floor // water,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', 'Bathroom', '', '?', '?']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_1']"
61,burger // sandwich,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy']","['', '', '', '', 'bakery']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
62,outfield // mound,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['baseball', 'Baseball field', '', '', 'baseball']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
63,pants // jeans,"['x-is-y', 'x-to-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
64,trees // field,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x', 'x-to-y']","['', '', 'Outside', '', 'forest', '', '']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
65,socks // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', 'uniform', 'Person', 'player', 'Legs']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
66,wall // floor,"['y-to-x', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', 'house', '', 'building', 'Building']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
67,controls // electronics,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
68,face // glasses,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
69,people // dress,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
70,glass // table,"['z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['material', '?', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
71,eye // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['?', '?', '?', '?', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_1']"
72,baseball game // home plate,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_3']"
73,woman // man,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', 'People', 'person']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
74,end table // beam,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Livingroom', '?', '?', 'room']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
75,ground // pants,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', '?', '?']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_1']"
76,people // woman,"['x-to-y', 'x-is-y', 'x-is-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
77,barricade // cones,"['y-to-x', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', 'street', 'road', '', 'construction']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_3']"
78,wine glasses // wine glass,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
79,ball // player,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '', '?', '', 'sport']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
80,jersey // player,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
81,building // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', '?', '?', 'people', 'Community']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
82,hand // face,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['body', 'person', '?', 'person', 'Human']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
83,electronics // stereo,"['x-to-y', 'y-to-x', 'z-to-xy', 'y-to-x', 'x-to-y']","['', '', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
84,"window // sidewalk,side walk","['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['building', 'building', '?', '?', 'Community']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
85,watch // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['human', 'person', '?', 'man', 'Human']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
86,ceiling // sky,"['x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', '', '?', 'roof', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
87,window // wall,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', 'house', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
88,coat // woman,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
89,face mask // umpire,"['z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['player', '?', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_1']"
90,carpet // floor,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
91,jacket // glasses,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Person', 'Outfit', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
92,parachute // parasail,"['z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-to-y']","['Sky/Ocean', '', '', '?', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
93,pilot // jet,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
94,skateboards // toys,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['kid', '?', '?', 'Kids', 'Kids']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
95,sock // field,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['players', '?', 'Athlete', '?', 'Sports']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
96,eye // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'human', 'Face', 'People', 'head']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
97,tree // sky,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['earth', '', 'Outside', 'Environment', 'nature']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
98,road // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Manmade/natural', 'buildings', '?', 'Outside', 'Outdoor']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
99,baseball player // mound,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'baseball field', '?', 'Baseball field', 'Baseball']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
100,uniform // shirt,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-is-y']","['', '', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
101,player // shorts,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
102,"sidewalk,side walk // tree","['y-to-x', 'x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '', '?', 'Outside', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
103,goats // herd,"['x-to-y', 'x-to-y', 'x-to-y', 'y-to-x', 'x-is-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
104,shoe // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['clothing', 'human', '?', 'Person', 'person']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
105,dvd player // entertainment center,"['y-to-x', 'x-to-y', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '', '?', '', 'Living room']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
106,cloud // water,"['x-to-y', 'x-to-y', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'Outside', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
107,pizzas // pepperoni,"['y-to-x', 'x-to-y', 'x-to-y', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_1', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_3']"
108,ox // wagon,"['x-to-y', 'z-to-xy', 'y-to-x', 'x-to-y', 'x-is-y']","['', '?', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
109,baseball player // umpire,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '?', 'Stadium', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
110,jacket // pants,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Person', 'people', 'Person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
111,shoe // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
112,coffee cup // monitors,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['table', '?', 'Office', 'coffee shop', 'Table']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
113,mouth // head,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
114,field // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['player', '?', 'Athlete', 'soccer player', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
115,person // man,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
116,bridle // reigns,"['z-to-xy', 'x-is-y', 'y-to-x', 'y-to-x', 'x-is-y']","['horse', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
117,tennis // match,"['x-to-y', 'x-is-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
118,eyes // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['people', 'Person', 'Human', 'person', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
119,hamburger // sandwich,"['z-to-xy', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y']","['restaurant', '', 'Food', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
120,clay // tennis court,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
121,uniform // pants,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', 'Clothing', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
122,wrist watch // sprinkles,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Getting ready', '?', '?']","['confidence_1', 'confidence_1', 'confidence_1', 'confidence_1', 'confidence_2']"
123,wall // water,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['pool', 'Bathroom', 'House', '', 'WATERFALL']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
124,shoe // uniform,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['people', '', 'Person', 'person', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
125,window // chair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['room', '?', 'Room', 'Building', 'Building']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
126,street // bathroom,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['houses', '?', '?', 'Outdoor/Indoor', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
